Check Number        Amount              Date
464625              2300.0              01/03
464654              1980.0              01/03
464724              900.0               01/03
464731              800.0               01/03
464814              630.0               01/03
464817              1300.0              01/10
464819              1858.2              01/04
464833              7094.09             01/10
464842              1.28                01/11
464845              357.51              01/20
464846              20.0                01/13
464856              3.86                01/19
464860              95.4                01/13
464866              75.0                01/17
464867              15.0                01/17
464868              3.56                01/03
464869              18.43               01/12
464873              7.21                01/04
464878              163.82              01/09
464881              30.0                01/06
464885              85.56               01/18
464886              58.28               01/04
464888              21.77               01/11
464891              40.0                01/10
464893              7.98                01/11
464894              24.34               01/12
464895              17.62               01/06
464899              5.25                01/06
464900              100.0               01/06
464901              5.66                01/03
464904              36.36               01/06
464905              6.34                01/18
464906              8.71                01/06
464910              14.54               01/04
464911              11.11               01/06
464913              156.24              01/19
464914              9.41                01/13
464916              12.93               01/06
464919              56.01               01/04
464924              373.78              01/10
464926              428.08              01/04
464929              404.56              01/04
464932              128.74              01/03
464934              1719.44             01/05
464937              7946.84             01/04
464938              22.94               01/04
464939              195.24              01/05
464965              450.0               01/03
465003              3300.0              01/05
465015              600.0               01/03
465035              3000.0              01/06
465036              2000.0              01/03
465042              398.37              01/03
465043              936.29              01/05
465046              1500.0              01/05
465055              709.03              01/03
465056              7000.0              01/04
465057              100.0               01/04
465075              2006.0              01/06
465084              2144.67             01/03
465086              532.08              01/03
465089              6429.18             01/03
465092              1700.0              01/03
465095              347.64              01/03
465098              324.0               01/04
465100              6300.0              01/03
465105              588.42              01/03
465110              4900.0              01/06
465125              444.38              01/03
465128              673.82              01/04
465129              211.06              01/04
465133              827.7               01/03
465134              2000.0              01/04
465139              580.16              01/03
465150              254.25              01/03
465152              45.54               01/18
465153              1490.91             01/18
465161              10380.0             01/10
465181              1500.0              01/06
465198              4950.0              01/03
465204              500.0               01/04
465211              2000.0              01/06
465214              1700.0              01/03
465217              543.14              01/03
465224              1100.0              01/06
465227              1250.0              01/03
465228              3733.24             01/10
465229              2798.0              01/05
465231              2453.0              01/03
465234              4000.0              01/05
465235              383.08              01/03
465242              1166.0              01/06
465247              8000.0              01/03
465248              1000.0              01/03
465253              4900.0              01/10
465269              1318.0              01/04
465278              8249.62             01/06
465279              1200.0              01/03
465296              2100.0              01/04
465310              3000.0              01/03
465313              4000.0              01/04
465314              5000.0              01/03
465323              2000.0              01/05
465326              18000.0             01/09
465339              400.0               01/04
465349              3000.0              01/04
465363              2000.0              01/03
465375              1200.0              01/03
465381              3400.0              01/03
465399              800.0               01/03
465412              3150.0              01/09
465420              4700.0              01/05
465422              2136.17             01/06
465425              5549.8              01/09
465428              10000.0             01/03
465443              6917.59             01/03
465445              3969.11             01/04
465446              1000.0              01/04
465452              1000.0              01/06
465457              1200.0              01/03
465462              1400.0              01/03
465489              486.84              01/03
465490              7766.54             01/11
465492              2000.0              01/03
465493              500.0               01/03
465495              2970.0              01/11
465502              2400.0              01/05
465503              4525.0              01/05
465507              8000.0              01/04
465510              2640.33             01/18
465511              7507.55             01/05
465524              1980.0              01/03
465530              10500.0             01/03
465531              4654.36             01/03
465537              6000.0              01/05
465543              10000.0             01/04
465547              7300.0              01/04
465551              880.4               01/03
465554              675.0               01/09
465558              3465.0              01/04
465559              3000.0              01/04
465566              3400.0              01/04
465569              500.0               01/03
465570              9000.0              01/06
465574              20000.0             01/03
465580              1000.0              01/03
465592              6800.0              01/04
465593              2500.0              01/04
465598              5000.0              01/03
465605              1683.0              01/03
465611              3000.0              01/06
465616              3000.0              01/06
465620              974.08              01/03
465623              312.3               01/03
465635              10000.0             01/04
465636              9337.84             01/03
465642              5000.0              01/04
465645              5795.89             01/03
465649              6808.69             01/03
465657              1571.11             01/03
465663              4500.0              01/05
465665              3339.97             01/04
465692              880.49              01/06
465693              302.76              01/03
465698              2500.0              01/03
465699              2870.0              01/03
465701              8500.0              01/06
465713              800.0               01/04
465720              3955.24             01/13
465724              7200.0              01/04
465726              5000.0              01/03
465732              548.81              01/05
465745              10000.0             01/06
465760              4454.48             01/17
465765              2500.0              01/06
465795              1900.0              01/03
465799              1200.0              01/04
465805              9400.0              01/06
465808              5172.8              01/03
465809              1710.8              01/04
465811              4500.0              01/03
465813              1500.0              01/03
465816              1240.0              01/06
465817              251.07              01/06
465833              179.16              01/05
465838              1000.0              01/13
465845              4333.17             01/13
465846              2000.0              01/03
465857              6750.0              01/03
465858              2020.73             01/11
465862              4800.0              01/04
465865              100.0               01/09
465867              50.37               01/03
465868              79.21               01/18
465869              37.64               01/11
465870              182.3               01/10
465876              89.13               01/11
465877              30.0                01/05
465878              249.66              01/03
465882              20.0                01/17
465885              1.66                01/10
465887              150.0               01/03
465888              102.66              01/17
465890              275.63              01/03
465891              75.5                01/12
465893              474.76              01/11
