Check Number        Amount              Date
472835              503.47              01/18
472836              5000.0              01/19
472843              1119.3              01/17
472845              550.0               01/17
472849              1460.0              01/17
472855              5800.0              01/19
472858              6000.0              01/18
472864              6000.0              01/19
472871              4950.0              01/19
472880              5000.0              01/17
472881              4000.0              01/18
472894              1000.0              01/19
472898              1000.0              01/17
472899              2000.0              01/18
472909              1011.0              01/17
472914              2386.11             01/19
472915              907.94              01/17
472916              724.92              01/19
472917              4011.46             01/19
472918              500.0               01/13
472920              1000.0              01/17
472930              653.58              01/17
472934              1450.0              01/19
472936              2475.0              01/19
472939              10900.0             01/19
472949              786.84              01/13
472953              13000.0             01/18
472960              5420.62             01/19
472967              760.09              01/17
472969              1180.77             01/17
472976              3000.0              01/17
472987              2000.0              01/17
472988              5300.0              01/17
472996              700.0               01/19
473008              1300.0              01/19
473014              9000.0              01/17
473027              7920.0              01/19
473029              90.31               01/17
473030              34.47               01/18
473038              1975.0              01/17
473041              2000.0              01/17
473043              1116.99             01/17
473054              600.0               01/17
473056              1000.0              01/17
473058              1364.06             01/17
473060              2319.73             01/17
473065              5185.0              01/18
473066              690.4               01/17
473077              900.0               01/17
473078              3000.0              01/17
473089              974.0               01/19
473103              565.41              01/17
473108              2539.37             01/18
473121              7141.46             01/19
473136              2863.32             01/17
473147              2350.0              01/17
473151              759.0               01/17
473152              495.0               01/17
473160              1000.0              01/17
473161              11599.0             01/17
473165              1571.55             01/17
473166              1200.0              01/17
473167              593.4               01/17
473168              1726.73             01/17
473171              2600.0              01/17
473173              1500.0              01/19
473174              3500.0              01/19
473187              692.75              01/17
473191              2196.81             01/19
473192              627.0               01/17
473193              5000.0              01/20
473202              999.9               01/17
473207              6631.9              01/19
473220              925.0               01/17
473224              575.0               01/17
473228              300.0               01/17
473232              1750.0              01/19
473240              12300.0             01/17
473246              8400.0              01/17
473250              11880.0             01/17
473258              4122.97             01/17
473259              8155.46             01/19
473283              500.0               01/17
473286              442.0               01/17
473287              3000.0              01/17
473293              1000.0              01/17
473294              484.0               01/17
473302              350.0               01/19
473313              812.77              01/17
473336              6000.0              01/19
473344              4000.0              01/17
473355              300.0               01/19
473358              1400.0              01/18
473359              15000.0             01/17
473360              1396.0              01/19
473373              4971.38             01/17
473381              8557.84             01/20
473383              2169.63             01/17
473386              4914.53             01/17
473389              7000.0              01/17
473400              8553.99             01/17
473405              5000.0              01/17
473409              1834.89             01/18
473411              1500.0              01/17
473432              16680.0             01/17
473435              1000.0              01/18
473440              700.0               01/17
473445              12500.0             01/17
473448              697.0               01/17
473451              6900.0              01/20
473459              2101.16             01/18
473461              1627.0              01/19
473462              48.1                01/12
473467              4.97                01/17
473469              17.2                01/19
473470              125.0               01/09
473471              27.27               01/17
473474              2.34                01/13
473479              164.58              01/17
473480              134.18              01/17
473484              6.58                01/19
473485              200.45              01/10
473486              401.0               01/13
473487              191.92              01/13
473488              200.33              01/13
473489              200.3               01/11
473491              260.98              01/17
473494              273.72              01/10
473496              81.77               01/18
473499              487.59              01/13
473500              74.6                01/18
473502              274.94              01/12
473503              380.26              01/12
473505              501.39              01/19
473506              200.47              01/13
473507              24.57               01/09
473512              134.82              01/17
473513              28.03               01/12
473514              164.08              01/12
473515              48.54               01/17
473517              124.86              01/19
473518              151.51              01/19
473520              200.2               01/13
473521              64.78               01/18
473523              200.27              01/17
473525              48.37               01/11
473527              29.42               01/19
473528              758.79              01/13
473529              77.64               01/19
473530              893.75              01/12
473531              47.87               01/09
473532              512.81              01/17
473537              60.01               01/13
473539              24.17               01/19
473543              306.91              01/18
473545              135.25              01/18
473546              860.48              01/13
473548              1918.43             01/17
473549              312.67              01/18
473553              10.0                01/17
473555              105.8               01/17
473556              815.94              01/10
473557              1605.7              01/09
473558              5900.0              01/11
473559              2173.0              01/10
473560              663.0               01/12
473561              990.0               01/10
473562              4276.34             01/10
473563              1000.0              01/17
473564              4166.73             01/12
473565              15878.0             01/13
473566              2500.0              01/17
473567              3400.0              01/12
473568              13000.0             01/13
473569              1941.53             01/17
473571              1220.0              01/12
473572              2500.0              01/13
473573              5600.0              01/13
473574              8500.0              01/17
473575              2515.46             01/10
473576              1800.0              01/13
473577              6000.0              01/12
473578              750.0               01/13
473579              5000.0              01/13
473580              3373.67             01/13
473581              4750.0              01/17
473591              7953.5              01/19
473595              594.89              01/17
473619              1438.82             01/17
473628              6000.0              01/17
473630              1000.0              01/19
473637              3400.0              01/19
473641              5400.0              01/19
473643              4000.0              01/17
473649              1940.0              01/19
473650              1250.0              01/17
473653              3890.0              01/17
473658              2000.0              01/19
473659              31.79               01/18
473661              77.22               01/17
473662              110.32              01/17
473666              460.89              01/12
473669              20.0                01/17
473672              3.39                01/18
473674              36.56               01/17
473675              400.0               01/17
473676              108.85              01/17
473679              20.67               01/17
473681              8.5                 01/17
473688              63.54               01/19
473689              489.95              01/17
473690              454.92              01/17
473691              1277.49             01/17
473692              18192.0             01/13
473693              1353.18             01/12
473694              2000.0              01/17
473695              15000.0             01/13
473696              7200.0              01/17
473697              8148.19             01/18
473698              1200.0              01/13
473699              3453.97             01/17
473700              2000.0              01/13
473701              1500.0              01/13
473702              1500.0              01/11
473703              1172.0              01/11
473704              2000.0              01/13
473705              4952.72             01/17
473706              4817.81             01/18
473707              3826.03             01/17
473708              515.09              01/17
473709              435.7               01/17
473710              2600.0              01/13
473711              2400.0              01/13
473712              3500.0              01/17
473713              7500.0              01/17
473715              2400.0              01/17
473716              1500.0              01/17
473717              5000.0              01/19
473718              4903.25             01/17
473719              7000.0              01/17
473720              1200.0              01/17
473721              4000.0              01/17
473722              654.0               01/18
473723              1338.0              01/18
473724              5000.0              01/13
473725              10000.0             01/17
473726              9600.0              01/12
473727              7000.0              01/17
473728              5637.0              01/10
473729              7198.64             01/13
473730              5925.0              01/17
473731              1500.0              01/11
473742              2500.0              01/18
473753              1546.0              01/17
473754              1524.91             01/17
473755              5700.0              01/17
473778              8167.08             01/13
473780              6400.0              01/18
473789              341.0               01/13
473793              517.35              01/17
473807              9209.3              01/13
473829              3000.0              01/17
473830              8700.0              01/20
473837              10000.0             01/18
473842              2200.0              01/19
473847              5343.86             01/20
473866              3300.0              01/20
473868              5000.0              01/17
473869              4388.6              01/19
473877              1503.16             01/17
473882              4800.0              01/17
473885              2000.0              01/19
473886              500.0               01/17
473887              1500.0              01/19
473891              692.0               01/17
473899              3400.0              01/17
473905              5.9                 01/18
473907              385.59              01/20
473908              84.31               01/17
473915              25.0                01/17
473916              1.59                01/13
473918              26.0                01/18
473919              613.12              01/13
473923              185.58              01/17
473924              190.01              01/13
473925              5922.39             01/17
473926              81.17               01/17
473928              25.0                01/19
473929              1.03                01/19
473930              1009.21             01/17
473932              150.07              01/20
473934              68.27               01/17
473939              245.81              01/11
473941              704.04              01/18
473942              153.01              01/13
473943              851.08              01/18
473945              64.09               01/18
473947              129.95              01/19
473949              53.98               01/20
473950              328.73              01/18
473955              182.06              01/17
473959              3638.09             01/17
473960              936.18              01/13
473961              5355.0              01/19
473962              688.26              01/13
473963              500.0               01/12
473964              3432.94             01/12
473965              1759.53             01/17
473966              800.0               01/12
473967              25013.98            01/12
473968              3377.54             01/17
473969              8000.0              01/17
473970              3932.87             01/13
473971              2400.0              01/17
473972              1737.96             01/19
473973              416.7               01/17
473974              300.38              01/17
473975              16000.0             01/17
473976              4000.0              01/17
473977              1968.04             01/17
473978              2921.98             01/17
473979              1148.04             01/17
473980              4593.62             01/17
473981              1890.0              01/17
473982              7600.0              01/18
473983              607.45              01/17
473984              3378.7              01/17
473985              11223.5             01/17
473986              700.0               01/17
473987              2000.0              01/17
473988              1880.0              01/17
473989              1300.0              01/13
473990              5500.0              01/17
473991              5000.0              01/18
474001              2800.0              01/17
474004              2717.0              01/18
474006              374.46              01/19
474009              3185.52             01/17
474010              1461.32             01/19
474032              819.62              01/17
474035              750.0               01/19
474036              224.9               01/19
474042              1474.86             01/19
474054              145.85              01/19
474055              385.43              01/19
474060              1141.22             01/18
474062              1014.27             01/18
474063              3042.91             01/19
474070              2100.0              01/17
474071              590.21              01/17
474073              86.71               01/19
474080              5300.0              01/18
474090              4800.0              01/19
474098              272.37              01/20
474099              436.93              01/17
474104              3450.0              01/18
474109              7000.0              01/19
474114              6800.0              01/19
474118              1523.15             01/20
474127              1000.0              01/20
474128              1500.0              01/17
474130              3650.0              01/18
474134              1080.0              01/17
474138              3400.0              01/19
474144              2500.0              01/17
474151              262.9               01/20
474152              522.72              01/19
474155              2810.5              01/19
474183              3274.83             01/17
474186              6500.0              01/17
474187              2000.0              01/19
474201              6400.0              01/19
474202              1000.0              01/17
474217              420.0               01/19
474219              1400.0              01/19
474222              1500.0              01/17
474226              2389.89             01/18
474227              900.0               01/13
474236              1000.0              01/19
474237              5813.18             01/19
474241              3300.0              01/17
474242              7000.0              01/17
474247              1399.0              01/17
474252              8034.45             01/17
474257              3174.0              01/19
474265              607.71              01/17
474274              772.17              01/19
474275              1887.11             01/18
474277              3900.0              01/19
474288              1457.43             01/17
474296              3484.89             01/19
474305              691.62              01/17
474314              3000.0              01/17
474317              4000.0              01/17
474326              5400.0              01/17
474335              756.51              01/17
474336              1000.0              01/17
474338              1000.0              01/19
474352              1500.0              01/17
474355              4132.59             01/17
474374              1843.0              01/17
474382              1638.67             01/19
474383              1057.71             01/19
474387              1885.83             01/19
474388              8200.0              01/18
474390              11500.0             01/19
474395              380.0               01/17
474396              3700.0              01/19
474397              1700.0              01/17
474398              8400.0              01/19
474400              5000.0              01/19
474401              4650.85             01/17
474412              2000.0              01/17
474416              11830.0             01/17
474419              358.0               01/19
474424              3775.23             01/19
474440              4418.85             01/19
474449              1800.0              01/19
474453              1800.0              01/20
474456              630.0               01/17
474459              687.22              01/19
474461              1146.0              01/19
474473              7500.0              01/19
474500              1871.09             01/19
474501              550.25              01/19
474507              10568.0             01/18
474510              4500.0              01/17
474517              2000.0              01/19
474521              6000.0              01/18
474530              11880.0             01/17
474540              9296.09             01/17
474546              12296.88            01/17
474547              2200.0              01/17
474548              2076.17             01/19
474554              558.94              01/17
474562              5000.0              01/17
474573              6900.0              01/18
474580              1000.0              01/17
474587              6647.39             01/17
474589              1400.0              01/18
474596              5700.0              01/18
474600              2938.91             01/19
474602              3000.0              01/19
474603              1000.0              01/19
474604              1200.0              01/19
474617              5000.0              01/17
474629              250.0               01/17
474631              500.0               01/17
474640              1400.0              01/19
474642              3000.0              01/19
474647              5900.0              01/20
474648              5200.0              01/17
474651              7300.0              01/19
474652              5200.0              01/17
474656              3500.0              01/18
474669              455.0               01/19
474682              5000.0              01/17
474690              1700.0              01/20
474699              4000.0              01/17
474702              10000.0             01/18
474717              2475.99             01/17
474731              3850.0              01/19
474735              5700.0              01/17
474739              1000.0              01/18
474744              540.0               01/17
474750              4550.0              01/19
474767              262.31              01/17
474769              965.47              01/17
474772              7500.0              01/17
474774              575.0               01/17
474775              3274.84             01/17
474786              3000.0              01/18
474792              700.0               01/17
474795              4375.41             01/19
474797              899.23              01/19
474807              3460.0              01/19
474821              390.0               01/17
474822              1500.0              01/19
474825              2000.0              01/18
474827              445.0               01/18
474831              9000.0              01/18
474833              7482.69             01/19
474840              3298.5              01/19
474854              3500.0              01/19
474856              2000.0              01/19
474859              10000.0             01/18
474866              10279.11            01/19
474882              1000.0              01/20
474883              1000.0              01/13
474885              4846.95             01/19
474886              14700.0             01/17
474887              5220.0              01/13
474891              1666.14             01/17
474893              2485.78             01/18
474896              10800.0             01/17
474900              17500.0             01/19
474902              9000.0              01/17
474911              626.88              01/19
474926              4455.0              01/20
474931              600.0               01/17
474936              4000.0              01/19
474941              2350.0              01/17
474949              3350.0              01/17
474950              8.84                01/20
474951              4.88                01/18
474954              39.0                01/19
474955              125.0               01/20
474956              347.09              01/17
474957              346.06              01/17
474958              1589.29             01/17
474959              450.0               01/17
474960              78.0                01/17
474961              349.82              01/18
474965              1056.79             01/18
474966              960.99              01/20
474967              171.33              01/20
474968              795.0               01/19
474972              3000.0              01/17
474973              7700.0              01/20
474974              9789.41             01/17
474975              119.51              01/17
474976              752.37              01/17
474977              3196.36             01/17
474978              6049.25             01/17
474980              275.0               01/18
474981              400.0               01/19
474982              600.0               01/17
474983              1245.0              01/17
474984              400.0               01/17
474985              1299.47             01/17
474986              4000.0              01/17
474987              8000.0              01/17
474988              1200.0              01/17
474989              11000.0             01/19
474990              3300.0              01/18
474991              3500.0              01/19
474992              4541.19             01/17
474993              14400.0             01/17
474994              10000.0             01/17
474995              8000.0              01/17
474996              5500.0              01/17
474997              2650.0              01/17
474998              420.0               01/17
474999              2234.3              01/17
475000              2750.0              01/17
475001              425.0               01/17
475004              2925.68             01/18
475014              2000.0              01/17
475020              1595.0              01/17
475024              1270.0              01/19
475026              650.0               01/17
475028              17700.0             01/18
475037              463.91              01/17
475047              2089.32             01/18
475049              471.41              01/19
475050              1001.27             01/17
475057              2500.0              01/19
475058              3000.0              01/19
475066              2050.0              01/17
475067              476.47              01/18
475073              7307.38             01/17
475074              600.0               01/17
475084              3250.79             01/19
475119              2800.0              01/19
475120              3000.0              01/19
475121              2400.0              01/19
475122              680.0               01/17
475132              4600.0              01/19
475144              1581.82             01/17
475145              3000.0              01/20
475153              2000.0              01/19
475159              1830.0              01/17
475160              950.0               01/19
475170              418.76              01/18
475171              3600.0              01/17
475173              1200.0              01/18
475174              2082.82             01/20
475184              6000.0              01/18
475186              8400.0              01/20
475192              68.58               01/18
475194              135.42              01/17
475198              22.97               01/18
475199              128.24              01/17
475200              200.16              01/18
475201              12.72               01/17
475206              200.54              01/19
475210              575.69              01/18
475211              84.67               01/18
475214              200.4               01/18
475216              94.91               01/17
475217              200.17              01/18
475218              59.6                01/20
475220              1.58                01/17
475221              1001.45             01/17
475222              144.52              01/19
475223              34.98               01/17
475225              260.77              01/17
475228              50.0                01/19
475232              1471.85             01/17
475241              4000.0              01/17
475242              199.37              01/17
475245              183.87              01/18
475247              333.23              01/20
475248              188.59              01/18
475250              315.53              01/19
475251              64.13               01/19
475252              20.0                01/19
475253              82.0                01/18
475254              298.76              01/20
475257              23.31               01/17
475261              352.07              01/20
475263              52.38               01/17
475266              10.0                01/17
475271              100.0               01/18
475281              19.4                01/19
475282              295.89              01/18
475283              58.96               01/18
475287              20.17               01/18
475289              722.11              01/19
475293              1398.29             01/20
475295              54.14               01/17
475298              10.01               01/19
475299              671.58              01/17
475300              220.75              01/17
475303              9400.0              01/13
475304              11054.53            01/17
475306              2500.0              01/13
475307              1300.0              01/13
475309              14000.0             01/13
475310              2759.0              01/19
475311              3135.67             01/20
475312              2200.0              01/17
475315              3481.0              01/13
475316              3200.0              01/19
475317              2500.0              01/17
475320              5500.0              01/17
475322              1879.75             01/17
475323              8500.0              01/19
475324              3771.13             01/18
475325              8611.0              01/19
475326              3453.0              01/17
475327              1109.57             01/17
475328              503.03              01/17
475329              922.59              01/19
475330              1192.88             01/17
475331              2900.0              01/17
475332              5657.0              01/17
475333              7499.97             01/17
475334              6673.52             01/17
475335              2676.09             01/17
475336              8000.0              01/18
475337              2572.0              01/19
475338              7222.38             01/17
475339              1000.0              01/17
475340              9625.0              01/18
475341              6500.0              01/17
475342              14100.0             01/17
475344              7000.0              01/18
475345              4800.0              01/17
475346              3100.0              01/17
475347              1900.0              01/17
475348              12700.0             01/19
475349              4386.28             01/19
475350              6000.0              01/17
475351              10000.0             01/18
475352              14000.0             01/17
475353              2000.0              01/17
475354              2231.46             01/17
475355              892.13              01/17
475357              6500.0              01/17
475358              408.52              01/18
475359              934.8               01/18
475360              195.45              01/17
475361              4500.0              01/19
475362              500.0               01/17
475363              500.0               01/17
475364              5065.72             01/17
475365              6678.89             01/19
475366              7583.32             01/19
475368              3300.0              01/18
475369              1506.58             01/17
475370              1350.0              01/19
475371              10000.0             01/17
475372              5000.0              01/17
475373              2500.0              01/18
475374              3400.0              01/17
475376              3000.0              01/20
475377              2200.0              01/17
475378              10800.0             01/17
475379              7000.0              01/18
475380              3722.0              01/19
475381              5351.16             01/20
475382              2400.0              01/20
475383              1700.0              01/17
475384              1500.0              01/19
475386              5000.0              01/17
475387              100.0               01/17
475390              491.66              01/19
475391              1070.0              01/19
475394              10000.0             01/19
475400              790.33              01/19
475405              623.35              01/19
475406              1002.34             01/19
475412              2282.3              01/19
475417              1720.94             01/19
475423              183.0               01/18
475424              20000.0             01/18
475426              8300.0              01/18
475442              15772.27            01/19
475458              8000.0              01/19
475460              2800.64             01/18
475480              1268.75             01/18
475486              5838.8              01/18
475489              4749.89             01/20
475495              1000.0              01/19
475497              500.0               01/19
475498              200.0               01/19
475501              113.08              01/20
475516              621.74              01/19
475521              1583.17             01/11
475522              4000.0              01/19
475533              19.63               01/20
475536              42.0                01/20
475542              12.83               01/19
475547              259.82              01/19
475552              9.9                 01/19
475557              224.72              01/19
475563              1324.83             01/19
475564              59.3                01/17
475567              4.33                01/19
475570              93.67               01/18
475573              8.32                01/18
475630              6.26                01/20
475634              186.22              01/19
475638              27.65               01/19
475639              292.94              01/18
475655              20.0                01/20
475656              41.0                01/20
475659              356.2               01/19
475663              14.15               01/18
475666              279.75              01/19
475667              71.39               01/20
475673              45.18               01/18
475688              25.41               01/19
475689              32.58               01/19
475690              119.71              01/19
475691              3066.12             01/18
475693              2559.43             01/17
475699              1.75                01/20
475703              99.32               01/20
475707              63.04               01/18
475708              20.83               01/18
475808              1700.0              01/20
475817              8950.56             01/19
475829              3900.0              01/19
475831              4906.03             01/19
475835              1760.0              01/19
475837              1500.0              01/19
475838              800.0               01/17
475846              5000.0              01/19
475946              500.0               01/17
475947              800.0               01/18
475948              851.98              01/20
475949              2261.8              01/17
475950              5000.0              01/17
475951              2800.0              01/17
475952              600.0               01/19
475953              6000.0              01/17
475954              3000.0              01/17
475956              10250.0             01/17
475957              2457.58             01/17
475958              2542.42             01/17
475959              488.79              01/17
475960              3600.0              01/20
475961              8500.0              01/20
475963              1150.0              01/17
475964              276.16              01/19
475965              3058.18             01/20
475967              3073.57             01/20
475968              2621.54             01/19
475969              6799.0              01/18
475971              4500.0              01/18
475972              900.0               01/18
475973              7925.0              01/17
475974              3500.0              01/17
476006              786.93              01/20
476102              12500.0             01/17
476106              23229.7             01/20
476172              114.07              01/19
476174              1397.14             01/18
476177              597.15              01/18
476181              348.56              01/19
476184              52.23               01/19
476186              526.42              01/20
476188              56.46               01/20
476192              1147.44             01/17
476193              8000.0              01/19
476194              621.0               01/17
476196              3000.0              01/17
476197              4500.0              01/19
476198              348.46              01/18
476200              6000.0              01/17
476202              2800.0              01/20
476203              3400.0              01/17
476204              2795.44             01/19
476205              2500.0              01/19
476206              5366.0              01/18
476208              1000.0              01/19
476209              2758.21             01/19
476210              1471.96             01/19
476228              2447.3              01/18
476229              2000.0              01/18
476230              3000.0              01/20
476231              2002.78             01/19
476232              3925.0              01/18
476480              300.0               01/20
476483              10.0                01/20
476488              10.0                01/20
476490              25.29               01/20
476555              46.38               01/20
476564              10.0                01/18
476568              1443.22             01/17
476569              1250.0              01/18
476571              6000.0              01/17
476572              2500.0              01/19
476575              1000.0              01/13
476576              5300.0              01/17
476580              700.0               01/20
476593              3000.0              01/20
476878              6000.0              01/19
476880              2840.0              01/19
478311              12727.8             01/30
523477              41.78               01/10
567251              862.4               01/10
800446171           18.0                01/03
