Check Number   Amount         Running Total
475733         3168.0         309,042.89
475738         3496.0         312,538.89
475739         2500.0         315,038.89
475740         2500.0         317,538.89
475752         5000.0         322,538.89
475758         800.0          323,338.89
475760         2195.0         325,533.89
475763         754.0          326,287.89
475767         882.84         327,170.73
475777         2700.0         329,870.73
475786         900.0          330,770.73
475788         5500.0         336,270.73
475789         2086.0         338,356.73
475791         20000.0        358,356.73
475813         2681.52        361,038.25
475832         3800.0         364,838.25
475853         200.0          365,038.25
475862         3000.0         368,038.25
475863         3559.92        371,598.17
475877         750.0          372,348.17
475880         10000.0        382,348.17
475881         2900.0         385,248.17
475887         1500.0         386,748.17
475900         2024.96        388,773.13
475903         2550.0         391,323.13
475913         500.0          391,823.13
475917         1471.0         393,294.13
475921         1765.86        395,059.99
475923         1462.78        396,522.77
475931         7000.0         403,522.77
475936         2400.0         405,922.77
475937         5500.0         411,422.77
475940         24075.0        435,497.77
475941         4400.0         439,897.77
475945         4926.53        444,824.30
475962         75.0           444,899.30
475966         1300.0         446,199.30
475975         2475.0         448,674.30
475988         1884.24        450,558.54
476005         151.28         450,709.82
476007         417.18         451,127.00
476008         846.6          451,973.60
476011         213.93         452,187.53
476020         355.97         452,543.50
476031         440.0          452,983.50
476044         4300.0         457,283.50
476048         6431.77        463,715.27
476051         651.65         464,366.92
476056         402.31         464,769.23
476066         2850.0         467,619.23
476070         16100.0        483,719.23
476074         775.0          484,494.23
476079         253.0          484,747.23
476088         4500.0         489,247.23
476089         1287.57        490,534.80
476098         11985.09       502,519.89
476111         6500.0         509,019.89
476117         950.0          509,969.89
476119         9000.0         518,969.89
476126         2760.0         521,729.89
476128         3000.0         524,729.89
476142         1238.0         525,967.89
476148         18659.0        544,626.89
476151         2800.0         547,426.89
476153         4000.0         551,426.89
476156         2000.0         553,426.89
476159         1200.0         554,626.89
476163         4500.0         559,126.89
476168         100.0          559,226.89
476169         19.21          559,246.10
476171         310.0          559,556.10
476173         4.16           559,560.26
476175         10.02          559,570.28
476176         633.81         560,204.09
476179         29.63          560,233.72
476183         1753.59        561,987.31
476185         30.03          562,017.34
476189         686.39         562,703.73
476190         1485.0         564,188.73
476191         3069.82        567,258.55
476195         4200.0         571,458.55
476201         7200.0         578,658.55
476207         2500.0         581,158.55
476211         4000.0         585,158.55
476212         10400.0        595,558.55
476213         2500.0         598,058.55
476214         967.43         599,025.98
476215         1500.0         600,525.98
476216         1070.0         601,595.98
476217         1500.0         603,095.98
476218         1000.0         604,095.98
476219         8250.0         612,345.98
476220         6500.0         618,845.98
476221         7500.0         626,345.98
476223         1600.0         627,945.98
476224         970.0          628,915.98
476225         10000.0        638,915.98
476226         4800.0         643,715.98
476227         3523.63        647,239.61
476233         4500.0         651,739.61
476234         1400.0         653,139.61
476242         4000.0         657,139.61
476243         800.0          657,939.61
476247         441.56         658,381.17
476255         300.0          658,681.17
476270         5924.61        664,605.78
476293         1996.0         666,601.78
476294         3023.0         669,624.78
